sport,event_id,commence_time,team1,team2,teams_label,bookmaker,team1_odds,team2_odds,team1_prob,team2_prob,team1_prob_norm,team2_prob_norm,market_prob,model_prob,sentiment_score,sentiment_score_norm,discrepancy,inefficiency_score,news_headlines,ingestion_ts,last_updated
americanfootball_nfl,265f0188945bb81ec64751571eb724cb,2025-11-16T14:30:00Z,Miami Dolphins,Washington Commanders,Miami Dolphins vs Washington Commanders,DraftKings,2.05,1.8,0.48780487804878053,0.5555555555555556,0.4675324675324676,0.5324675324675325,0.4675324675324676,0.5,0.0,0.5,0.03246753246753242,0.5324675324675324,,2025-11-09T10:25:27.958514+00:00,2025-11-09T10:25:27.958514+00:00
americanfootball_nfl,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:00:00Z,Atlanta Falcons,Carolina Panthers,Atlanta Falcons vs Carolina Panthers,DraftKings,1.56,2.5,0.641025641025641,0.4,0.6157635467980296,0.38423645320197053,0.6157635467980296,0.5,0.0,0.5,0.11576354679802958,0.6157635467980296,,2025-11-09T10:25:36.878902+00:00,2025-11-09T10:25:36.878902+00:00
americanfootball_nfl,96377d2fb55e3cef733cecccdecaed5f,2025-11-16T18:00:00Z,Buffalo Bills,Tampa Bay Buccaneers,Buffalo Bills vs Tampa Bay Buccaneers,DraftKings,1.38,3.15,0.7246376811594204,0.31746031746031744,0.695364238410596,0.3046357615894039,0.695364238410596,0.5,0.0,0.5,0.19536423841059603,0.695364238410596,,2025-11-09T10:25:46.233854+00:00,2025-11-09T10:25:46.233854+00:00
americanfootball_nfl,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:00:00Z,Chicago Bears,Minnesota Vikings,Chicago Bears vs Minnesota Vikings,DraftKings,2.3,1.65,0.4347826086956522,0.6060606060606061,0.4177215189873418,0.5822784810126582,0.4177215189873418,0.5,0.0,0.5,0.08227848101265822,0.5822784810126582,,2025-11-09T10:25:55.444942+00:00,2025-11-09T10:25:55.444942+00:00
americanfootball_nfl,7147476b5d96c0ee874b838de3910ee3,2025-11-16T18:00:00Z,Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals vs Pittsburgh Steelers,DraftKings,2.9,1.43,0.3448275862068966,0.6993006993006994,0.3302540415704388,0.6697459584295612,0.3302540415704388,0.5,0.0,0.5,0.1697459584295612,0.6697459584295612,,2025-11-09T10:26:04.997454+00:00,2025-11-09T10:26:04.997454+00:00
americanfootball_nfl,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:00:00Z,Green Bay Packers,New York Giants,Green Bay Packers vs New York Giants,DraftKings,1.32,3.5,0.7575757575757576,0.2857142857142857,0.7261410788381742,0.2738589211618257,0.7261410788381742,0.5,0.0,0.5,0.22614107883817425,0.7261410788381742,,2025-11-09T10:26:14.618074+00:00,2025-11-09T10:26:14.618074+00:00
americanfootball_nfl,fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:00:00Z,Houston Texans,Tennessee Titans,Houston Texans vs Tennessee Titans,DraftKings,1.29,3.7,0.7751937984496123,0.27027027027027023,0.7414829659318637,0.25851703406813625,0.7414829659318637,0.5,0.0,0.5,0.2414829659318637,0.7414829659318637,,2025-11-09T10:26:25.120813+00:00,2025-11-09T10:26:25.120813+00:00
americanfootball_nfl,591fd7cff37201a14cbdfbd457592445,2025-11-16T18:00:00Z,Jacksonville Jaguars,Los Angeles Chargers,Jacksonville Jaguars vs Los Angeles Chargers,DraftKings,2.05,1.8,0.48780487804878053,0.5555555555555556,0.4675324675324676,0.5324675324675325,0.4675324675324676,0.5,0.0,0.5,0.03246753246753242,0.5324675324675324,,2025-11-09T10:26:34.871471+00:00,2025-11-09T10:26:34.871471+00:00
americanfootball_nfl,91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,Arizona Cardinals vs San Francisco 49ers,DraftKings,2.05,1.8,0.48780487804878053,0.5555555555555556,0.4675324675324676,0.5324675324675325,0.4675324675324676,0.5,0.0,0.5,0.03246753246753242,0.5324675324675324,,2025-11-09T10:26:44.353105+00:00,2025-11-09T10:26:44.353105+00:00
americanfootball_nfl,e926e654cedeb65fcfcc389a5158ef4e,2025-11-16T21:05:00Z,Los Angeles Rams,Seattle Seahawks,Los Angeles Rams vs Seattle Seahawks,DraftKings,1.7,2.2,0.5882352941176471,0.45454545454545453,0.5641025641025641,0.4358974358974359,0.5641025641025641,0.5,0.0,0.5,0.0641025641025641,0.5641025641025641,,2025-11-09T10:26:53.420461+00:00,2025-11-09T10:26:53.420461+00:00
